adjustedmillionusd,originalmillionusd,name,artist,year,date_of_sale,rankat_sale,seller,buyer,auction_house,sale_year
147.4,115.0,Young Girl with a Flower Basket,Pablo Picasso,1905,"May 8, 2018",,David and Peggy Rockefeller,The Nahmad family [ 72 ],"Christie's, New York [ 73 ]",2018
147.2,139.3,Femme à la montre,Pablo Picasso,1932,"November 9, 2023",,Emily Fisher Landau 's estate,Anonymous buyer,"Sotheby's , New York [ 74 ]",2023
146.1,,Anna's Light,Barnett Newman,1968,"October 4, 2013",,DIC Corp.,,Private sale [ 75 ] [ 76 ],2013
145.7,105.4,Silver Car Crash (Double Disaster),Andy Warhol,1963,"November 13, 2013",,,,"Sotheby's, New York [ 77 ]",2013
145.1,110.5,Untitled,Jean-Michel Basquiat,1982,"May 18, 2017",,Emily and Jerry Spiegel [ 78 ],Yusaku Maezawa [ 79 ],"Sotheby's, New York [ 80 ]",2017
141.2,71.5,Portrait de l'artiste sans barbe,Vincent van Gogh,1889,"November 19, 1998",5.0,Jacques Koerfer [ de ] heirs,,"Christie's, New York",1998
139.4,110.7,Meules,Claude Monet,1890,"May 14, 2019",,,Hasso Plattner [ 81 ],"Sotheby's, New York [ 82 ]",2019
139.2,117.1,Verger avec cyprès,Vincent van Gogh,1888,"November 9, 2022",3.0,Paul G. Allen,,"Christie's, New York",2022
138.0,100.0,La Montagne Sainte-Victoire vue du bosquet du Château Noir,Paul Cézanne,1904,2013 [ note 17 ],,Edsel and Eleanor Ford House,State of Qatar [ 83 ],Private sale [ 84 ] [ 85 ],2013
137.3,76.7,Massacre of the Innocents,Peter Paul Rubens,1611,"July 10, 2002",6.0,an Austrian family,Kenneth Thomson [ note 18 ],"Sotheby's, London",2002
129.5,95.4,Nurse,Roy Lichtenstein,1964,"November 9, 2015",,,,"Christie's, New York [ 37 ]",2015
129.0,86.3,"Triptych, 1976",Francis Bacon,1976,"May 14, 2008",,Jean-Pierre Moueix heirs [ 87 ],Roman Abramovich [ 88 ],"Sotheby's, New York [ 89 ]",2008
128.1,49.3,Les Noces de Pierrette,Pablo Picasso,1905,"November 30, 1989",3.0,Fredrik Roos [ sv ] [ 90 ],Tomonori Tsurumaki,Binoche et Godeau Paris,1989
127.8,80.0,False Start [ de ],Jasper Johns,1959,"October 12, 2006",11.0,David Geffen,Kenneth C. Griffin,Private sale via Richard Gray [ 91 ],2006
127.1,85.0,Te Fare,Paul Gauguin,1892,June 2008,,Yves Bouvier,Dmitry Rybolovlev,Private sale [ note 19 ],2008
127.0,57.0,A Wheatfield with Cypresses,Vincent van Gogh,1889,May 1993,6.0,Emil Georg Bührle 's son,Walter H. Annenberg [ note 20 ],Private sale via Steven Mazoh,1993
125.9,100.0,Boy and Dog in a Johnnypump,Jean-Michel Basquiat,1982,2020,,Peter Brant [ 93 ],Ken Griffin [ 94 ],Private sale [ 93 ],2020
125.6,105.7,Maternitè II,Paul Gauguin,1899,"November 9, 2022",4.0,Paul G. Allen,,"Christie's, New York",2022
124.3,47.8,"Yo, Picasso",Pablo Picasso,1901,"May 9, 1989",2.0,Wendell Cherry,Stavros Niarchos,"Sotheby's, New York",1989
124.2,104.5,Birch Forest,Gustav Klimt,1903,"November 9, 2022",5.0,Paul G. Allen,,"Christie's, New York",2022
124.2,80.0,Turquoise Marilyn,Andy Warhol,1964,"May 20, 2007",,Stefan Edlis,Steven A. Cohen,Private sale via Larry Gagosian [ 95 ],2007
124.3,121.2,The Empire of Light,René Magritte,1954,"November 19, 2024",1.0,Mica Ertegun,,"Christie's, New York",2024
122.9,103.4,Femme assise près d’une fenêtre (Marie-Thérèse),Pablo Picasso,1932,"May 13, 2021",,,,"Christie's, New York [ 96 ]",2021
122.5,70.0,Portrait of Alfonso d'Avalos with a Page,Titian,1533,November 2003,10.0,Axa insurance company,Getty Museum,Private sale via Hervé Aaron [ 97 ] [ 98 ],2003
121.8,86.9,"Orange, Red, Yellow",Mark Rothko,1961,"May 8, 2012",,David Pincus estate,,"Christie's, New York [ 99 ]",2012
120.5,80.5,Le Bassin aux Nymphéas,Claude Monet,1919,"June 24, 2008",,J. Irwin and Xenia S. Miller,Andrey Melnichenko [ 100 ],"Christie's, London [ 101 ]",2008
117.8,91.9,Chop Suey,Edward Hopper,1929,"November 13, 2018",,Barney A. Ebsworth estate,,"Christie's, New York [ 102 ]",2018
116.9,60.5,"Rideau, Cruchon et Compotier",Paul Cézanne,1894,"May 10, 1999",9.0,Whitney Family [ note 21 ],,"Sotheby's, New York",1999
115.8,90.3,Portrait of an Artist (Pool with Two Figures),David Hockney,1972,"November 15, 2018",,,Pierre Chen,"Christie's, New York [ 104 ]",2018
114.5,108.4,Lady with a Fan,Gustav Klimt,1917,"June 27, 2023",,,"Patti Wong , on behalf of a Hong Kong buyer [ 105 ]","Sotheby's, London [ 106 ]",2023
114.5,84.2,Black Fire I,Barnett Newman,1961,"May 13, 2014",,Private Collection,Anonymous,"Christie's, New York [ 107 ]",2014
113.1,72.8,"White Center (Yellow, Pink and Lavender on Rose)",Mark Rothko,1950,"May 15, 2007",,"David Rockefeller, Sr.",Sheikh Hamad bin Khalifa Al-Thani [ 108 ],"Sotheby's, New York [ 109 ]",2007
112.4,39.7,Vase with Fifteen Sunflowers,Vincent van Gogh,1889,"March 30, 1987",1.0,"Helen Beatty, daughter-in-law of Chester Beatty","Yasuo Goto, Yasuda Comp./Sompo Holdings [ 110 ]","Christie's, London",1987
111.8,88.8,Buffalo II,Robert Rauschenberg,1964,"May 15, 2019",,Robert and Beatrice Mayer Estate [ 111 ],Alice Walton [ 112 ],"Christie's, New York [ 111 ]",2019
111.4,81.9,Triple Elvis,Andy Warhol,1963,"November 12, 2014",,WestSpiel [ de ] [ 113 ],,"Christie's, New York [ 114 ]",2014
